nohup: ignoring input
运行模式: train
项目目录: /root/autodl-tmp/MokioMind
日志文件: /root/autodl-tmp/MokioMind/logs/sft_train_20260905_125109.log
执行命令:
/root/autodl-tmp/MokioMind/.venv/bin/python3 /root/autodl-tmp/MokioMind/trainer/train_full_sft.py --data_path dataset/advertisegen/advertisegen_sft_train.jsonl --val_data_path dataset/advertisegen/advertisegen_sft_val.jsonl --from_weight pretrain --save_dir out --hidden_size 512 --num_hidden_layers 8 --max_seq_len 512 --epochs 1 --batch_size 8 --accumulation_steps 1 --learning_rate 1e-06 --dtype bfloat16 --num_workers 2 --smoke_max_new_tokens 128 --use_compile 0 --checkpoint_dir checkpoints/advertise_sft_ep1 --save_weight advertise_sft_ep1 --max_steps 0 --val_batches 0 --val_interval 0 --log_interval 50 --save_interval 500 --smoke_generate_samples 5
================================================================================
所加载Model可训练参数：25.830 百万
Epoch:[1/1] batch:6450/9819, optimizer_step:6450, loss:2.1730, grad_norm:2.4624, lr:0.00000034, elapsed:5.7min
Epoch:[1/1] batch:6500/9819, optimizer_step:6500, loss:2.5359, grad_norm:2.4958, lr:0.00000033, elapsed:5.8min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:6550/9819, optimizer_step:6550, loss:2.3994, grad_norm:2.5107, lr:0.00000032, elapsed:5.8min
Epoch:[1/1] batch:6600/9819, optimizer_step:6600, loss:2.3532, grad_norm:2.4846, lr:0.00000032, elapsed:5.9min
Epoch:[1/1] batch:6650/9819, optimizer_step:6650, loss:2.5792, grad_norm:2.6098, lr:0.00000031, elapsed:5.9min
Epoch:[1/1] batch:6700/9819, optimizer_step:6700, loss:2.3628, grad_norm:2.3070, lr:0.00000031, elapsed:6.0min
Epoch:[1/1] batch:6750/9819, optimizer_step:6750, loss:2.3276, grad_norm:2.6987, lr:0.00000030, elapsed:6.0min
Epoch:[1/1] batch:6800/9819, optimizer_step:6800, loss:2.4617, grad_norm:2.4331, lr:0.00000029, elapsed:6.1min
Epoch:[1/1] batch:6850/9819, optimizer_step:6850, loss:2.3725, grad_norm:2.6130, lr:0.00000029, elapsed:6.1min
Epoch:[1/1] batch:6900/9819, optimizer_step:6900, loss:2.2671, grad_norm:2.4425, lr:0.00000028, elapsed:6.1min
Epoch:[1/1] batch:6950/9819, optimizer_step:6950, loss:2.3765, grad_norm:2.6982, lr:0.00000028, elapsed:6.2min
Epoch:[1/1] batch:7000/9819, optimizer_step:7000, loss:2.3245, grad_norm:2.3040, lr:0.00000027, elapsed:6.2min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:7050/9819, optimizer_step:7050, loss:2.4208, grad_norm:2.4915, lr:0.00000027, elapsed:6.3min
Epoch:[1/1] batch:7100/9819, optimizer_step:7100, loss:2.2078, grad_norm:2.4608, lr:0.00000026, elapsed:6.3min
Epoch:[1/1] batch:7150/9819, optimizer_step:7150, loss:2.4072, grad_norm:2.4126, lr:0.00000025, elapsed:6.4min
Epoch:[1/1] batch:7200/9819, optimizer_step:7200, loss:2.6066, grad_norm:2.4167, lr:0.00000025, elapsed:6.4min
Epoch:[1/1] batch:7250/9819, optimizer_step:7250, loss:2.4994, grad_norm:2.4389, lr:0.00000024, elapsed:6.5min
Epoch:[1/1] batch:7300/9819, optimizer_step:7300, loss:2.3261, grad_norm:2.3417, lr:0.00000024, elapsed:6.5min
Epoch:[1/1] batch:7350/9819, optimizer_step:7350, loss:2.3825, grad_norm:2.5935, lr:0.00000023, elapsed:6.5min
Epoch:[1/1] batch:7400/9819, optimizer_step:7400, loss:2.4367, grad_norm:2.5529, lr:0.00000023, elapsed:6.6min
Epoch:[1/1] batch:7450/9819, optimizer_step:7450, loss:2.5097, grad_norm:2.6516, lr:0.00000022, elapsed:6.6min
Epoch:[1/1] batch:7500/9819, optimizer_step:7500, loss:2.6882, grad_norm:2.5607, lr:0.00000022, elapsed:6.7min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:7550/9819, optimizer_step:7550, loss:2.0862, grad_norm:2.5676, lr:0.00000021, elapsed:6.7min
Epoch:[1/1] batch:7600/9819, optimizer_step:7600, loss:2.3853, grad_norm:2.6088, lr:0.00000021, elapsed:6.8min
Epoch:[1/1] batch:7650/9819, optimizer_step:7650, loss:2.4534, grad_norm:2.6750, lr:0.00000020, elapsed:6.8min
Epoch:[1/1] batch:7700/9819, optimizer_step:7700, loss:2.4014, grad_norm:2.4302, lr:0.00000020, elapsed:6.9min
Epoch:[1/1] batch:7750/9819, optimizer_step:7750, loss:2.3907, grad_norm:2.5845, lr:0.00000020, elapsed:6.9min
Epoch:[1/1] batch:7800/9819, optimizer_step:7800, loss:2.5347, grad_norm:2.4928, lr:0.00000019, elapsed:6.9min
Epoch:[1/1] batch:7850/9819, optimizer_step:7850, loss:2.4121, grad_norm:2.3504, lr:0.00000019, elapsed:7.0min
Epoch:[1/1] batch:7900/9819, optimizer_step:7900, loss:2.2697, grad_norm:2.4073, lr:0.00000018, elapsed:7.0min
Epoch:[1/1] batch:7950/9819, optimizer_step:7950, loss:2.4802, grad_norm:2.7815, lr:0.00000018, elapsed:7.1min
